organisationunitid,organisationunitname,organisationunitcode,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,district_code
tsd4P5ZCQuW,20107 Surunga Municipality,20107,48463.0,48981.0,49508.0,49766.0,50396.0,50663.0,50663.0,50663.0,201
PoNyMTuhJGu,20108 Balan-Bihul Rural Municipality,20108,23865.0,24148.0,24427.0,24113.0,24463.0,23743.0,23743.0,23743.0,201
jUSkmeSh1bB,20109 BodeBarsain Municipality,20109,47072.0,47600.0,48134.0,46445.0,47093.0,46900.0,46900.0,46900.0,201
z9OcbIrxIMV,20110 Dakneshwori Municipality,20110,46445.0,46982.0,47513.0,48422.0,49099.0,48666.0,48666.0,48666.0,201
efeJVmnEkr5,20111 Rajgadh Rural Municipality,20111,32119.0,32476.0,32836.0,33052.0,33526.0,32596.0,32596.0,32596.0,201
pVuxZeIsOlz,20112 Bishnupur Rural Municipality,20112,25318.0,25609.0,25900.0,28317.0,28674.0,27738.0,27738.0,27738.0,201
REamYQDDc8L,20113 Rajbiraj Municipality,20113,76321.0,77173.0,78059.0,73340.0,73879.0,72020.0,72020.0,72020.0,201
aSIO1127IVl,20114 Mahadewa Rural Municipality,20114,31108.0,31468.0,31827.0,31126.0,31604.0,30201.0,30201.0,30201.0,201
KTb0F33PHTt,20115 Tirahut Rural Municipality,20115,24260.0,24558.0,24858.0,24035.0,24344.0,23988.0,23988.0,23988.0,201
voE6nkNZ68u,20116 Hanumannagar Kankalini Municipality,20116,50003.0,50573.0,51138.0,52052.0,52858.0,53728.0,53728.0,53728.0,201
zJy9BsADxzf,20117 Tilathi Koiladi Rural Municipality,20117,35006.0,35442.0,35874.0,34334.0,34816.0,33639.0,33639.0,33639.0,201
siXlLe6N9P4,20118 Chhinnamasta Rural Municipality,20118,31049.0,31410.0,31769.0,30734.0,31168.0,29946.0,29946.0,29946.0,201
iFoDthLp3eG,20201 Lahan Municipality,20201,101009.0,102073.0,103108.0,103225.0,104936.0,102925.0,102925.0,102925.0,202
euU6fKR81MC,20202 Dhangadhimai Municipality,20202,52121.0,52673.0,53224.0,54393.0,55324.0,53773.0,53773.0,53773.0,202
SLBr0Y4que5,20203 Golbazar Municipality,20203,56917.0,57499.0,58081.0,65437.0,66542.0,64588.0,64588.0,64588.0,202
H4ZqWgyw5qJ,20204 Mirchaiya Municipality,20204,53459.0,54020.0,54588.0,60246.0,61248.0,60227.0,60227.0,60227.0,202
q1noskqyYet,20205 Karjanha Municipality,20205,34189.0,34540.0,34898.0,39045.0,39722.0,39436.0,39436.0,39436.0,202
wZtU8hI8H8h,20206 Kalyanpur Municipality,20206,53262.0,53799.0,54345.0,60161.0,61286.0,60333.0,60333.0,60333.0,202
LquQFSh9yGx,20207 Naraha Rural Municipality,20207,20981.0,21193.0,21409.0,23728.0,24183.0,22640.0,22640.0,22640.0,202
LIR8dWalakD,20208 Bishnupur Rural Municipality,20208,20104.0,20317.0,20527.0,22866.0,23298.0,22823.0,22823.0,22823.0,202
XXSrHhYQ8v4,20209 Arnama Rural Municipality,20209,24671.0,24914.0,25162.0,28225.0,28775.0,27995.0,27995.0,27995.0,202
o8OIPSGkknn,20210 Sukhipur Municipality,20210,40282.0,40718.0,41153.0,42668.0,43423.0,42507.0,42507.0,42507.0,202
WZx3wCWLlU2,20211 Laxmipur Patari Rural Municipality,20211,30376.0,30693.0,31011.0,31195.0,31784.0,31075.0,31075.0,31075.0,202
dQphAmskjKr,20212 Sakhuwa Nankarkatti Rural Municipality,20212,20223.0,20440.0,20659.0,21008.0,21363.0,20674.0,20674.0,20674.0,202
fEFYRClTwTr,20213 Bhagawanpur Rural Municipality,20213,22821.0,23064.0,23311.0,23389.0,23798.0,23294.0,23294.0,23294.0,202
feLdvtuKWHw,20214 Nawarajpur Rural Municipality,20214,20708.0,20939.0,21175.0,20889.0,21249.0,20698.0,20698.0,20698.0,202
UYBKTWMaw3d,20215 Bariyarpatti Rural Municipality,20215,27410.0,27712.0,28009.0,29948.0,30509.0,29590.0,29590.0,29590.0,202
MJyaK5ixsKQ,20216 Aurahi Rural Municipality,20216,24844.0,25103.0,25364.0,27271.0,27772.0,26379.0,26379.0,26379.0,202
dRTc5Zz5oSz,20217 Siraha Municipality,20217,90033.0,90968.0,91910.0,96811.0,98529.0,97176.0,97176.0,97176.0,202
mFmIWxZqEUa,20301 Ganeshman Charnath Municipality,20301,39739.0,40175.0,40614.0,44999.0,45616.0,45043.0,45043.0,45043.0,203
G48aEUtnkqM,20302 Dhanushadham Municipality,20302,49645.0,50203.0,50755.0,53606.0,54200.0,53409.0,53409.0,53409.0,203
Ra80Qk48O76,20303 Mithila Municipality,20303,50327.0,50936.0,51554.0,47604.0,48151.0,49295.0,49295.0,49295.0,203
L8n8ufimqq0,20304 Bateshwor Rural Municipality,20304,23881.0,24175.0,24465.0,21520.0,21823.0,21525.0,21525.0,21525.0,203
ifypJag1NZc,20305 Chhireshwornath Municipality,20305,46274.0,46825.0,47378.0,53143.0,53848.0,52089.0,52089.0,52089.0,203
H1ykrXhN8ny,20306 Laxminiya Rural Municipality,20306,31125.0,31499.0,31881.0,33275.0,33683.0,31420.0,31420.0,31420.0,203
RW1bIabPbfE,20307 Mithila Bihari Municipality,20307,36836.0,37276.0,37712.0,38092.0,38603.0,39048.0,39048.0,39048.0,203
EtDSLuNpLgD,20308 Hansapur Municipality,20308,41548.0,42015.0,42487.0,45026.0,45647.0,45792.0,45792.0,45792.0,203
kkBHXOIpD2O,20309 Sabaila Municipality,20309,56910.0,57537.0,58167.0,62657.0,63580.0,63940.0,63940.0,63940.0,203
hOnC8RLWI7b,20310 Shahidnagar Municipality,20310,51750.0,52332.0,52914.0,53664.0,54409.0,54873.0,54873.0,54873.0,203
mhNvNmTvUsE,20311 Kamala Municipality,20311,42073.0,42548.0,43026.0,45581.0,46235.0,45619.0,45619.0,45619.0,203
Dycul4tYFYI,20312 Janak Nandini Rural Municipality,20312,27685.0,28004.0,28326.0,28335.0,28757.0,27036.0,27036.0,27036.0,203
rdYbkteJ80f,20313 Bideha Municipality,20313,35450.0,35868.0,36286.0,37967.0,38497.0,38547.0,38547.0,38547.0,203
BxBSsLJvFL4,20314 Aurahi Rural Municipality,20314,24767.0,25068.0,25372.0,24391.0,24722.0,23761.0,23761.0,23761.0,203
xx7B1K7qErB,20315 Janakpur Sub-Metropolitan City,20315,180066.0,182201.0,184354.0,195799.0,198070.0,197711.0,197711.0,197711.0,203
y0uK66XUGxN,20316 Dhanauji Rural Municipality,20316,23431.0,23714.0,23991.0,22005.0,22286.0,21773.0,21773.0,21773.0,203
ltqnFCQEb86,20317 Nagarain Municipality,20317,39058.0,39538.0,40018.0,38032.0,38555.0,38663.0,38663.0,38663.0,203
X4ptvPQX4oH,20318 Mukhiyapatti Musaharmiya Rural Municipality,20318,27836.0,28170.0,28500.0,29420.0,29862.0,27821.0,27821.0,27821.0,203
Jder3u2LeBr,20401 Bardibas Municipality,20401,73569.0,74528.0,75492.0,68527.0,69611.0,75945.0,75945.0,75945.0,204
seMsxiJS8sz,20402 Gaushala Municipality,20402,74338.0,75303.0,76268.0,73221.0,74574.0,73561.0,73561.0,73561.0,204
